Region,2012,2011,2010,2009,2008,2007,2006,2005
E12000004,790.0873377,709.1712647,653.2495895,679.5482801,616.4456545,529.0853438,459.2595399,374.0592417
E12000006,796.5988954,713.1219666,652.2649252,678.6232682,614.8517753,526.4567211,459.4929111,374.6099999
E12000007,818.5235233,735.2481591,669.9515952,692.1278092,611.0675307,525.0801717,462.9878658,378.6435682
E12000001,787.2472569,712.0648376,656.2339618,682.4208663,614.8168779,529.3426308,459.2716845,375.5191955
E12000002,795.0641185,718.1191199,660.8295059,686.9616794,617.9277127,530.4875895,461.5876388,375.5467504
E12000003,790.5391012,717.4083466,655.1527695,677.4093658,613.165924,526.4766825,453.0183221,371.2644005
E12000008,807.7687584,723.7803516,660.6449527,680.9169609,606.317445,523.645814,459.654411,373.947671
E12000009,804.7135655,717.9214482,658.0114075,680.5879426,598.6368597,523.4786395,458.1669023,375.7371563
W92000004,806.8215115,721.7014376,659.243649,682.6824727,583.9838781,513.8651867,449.9322977,378.3550872
E12000005,807.4490351,725.3684397,662.0152591,689.0842162,610.5763166,529.5432721,461.7780447,377.2811259
